id,producer,name,type,main_type,region,vintage,menu_price,size,food_pairings,vivino_price,price_multiplier,rating,link,num_ratings
,JULIEN PINEAU,PORK SODA,,SPARKLING,LOIRE,2022.0,64,,"['Shellfish', 'Poultry', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",N/A,N/A,—,https://www.vivino.com/US/en/wines/177462434,N/A
,TESSIER,PHIL’EN BULLE,,SPARKLING,LOIRE,2022.0,65,,N/A,N/A,N/A,N/A,N/A,N/A
,GESCHICKT,OBI WINE...,,SPARKLING,ALSACE,2022.0,68,,N/A,N/A,N/A,N/A,N/A,N/A
,,FUNAMBULLES,ROSÉ,SPARKLING,LOIRE,2021.0,64,,N/A,N/A,N/A,N/A,N/A,N/A
,MOSSE,MOUSSAMOUSSETTES,ROSÉ,SPARKLING,LOIRE,,65,,"['Shellfish', 'Poultry', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",N/A,N/A,4.1,https://www.vivino.com/US/en/wines/2854433,567
,LASSAIGNE,VIGNES DE MONTGUEUX,EXTRA BRUT,SPARKLING,,,160,,"['Pork', 'Shellfish', 'Rich fish (salmon, tuna etc)', 'Mild and soft cheese']",N/A,N/A,4.1,https://www.vivino.com/US/en/wines/2145795,4299
,LES VINS D’ENVIE,CHASSE AU DAHU,,WHITE,SAVOIE,2022.0,62,,N/A,N/A,N/A,N/A,N/A,N/A
,JEAN-PIERRE RIETSCH,TOUT BLANC,FIELD BLEND,WHITE,ALSACE,2023.0,80,1L,N/A,N/A,N/A,N/A,N/A,N/A
,VALÉRIE FORGUES,,SAUVIGNON,WHITE,LOIRE,2022.0,64,,[],11.69,5.474764756201882,3.4,https://www.vivino.com/US/en/wines/173818651,76
,CHRISTOPHE LINDENLAUB,EN EQUILIBRE,RIESLING,WHITE,ALSACE,2022.0,68,,"['Pork', 'Vegetarian', 'Rich fish (salmon, tuna etc)', 'Spicy food', 'Cured Meat']",23.1,2.9437229437229435,4.1,https://www.vivino.com/US/en/wines/162260048,730
,MARTHE HENRY,ALIGOTÉ,,WHITE,BURGUNDY,2020.0,95,,"['Shellfish', 'Pasta', 'Rich fish (salmon, tuna etc)', 'Mild and soft cheese', 'Cured Meat']",46.02,2.06431986093003,4.2,https://www.vivino.com/US/en/wines/164616875,159
,LES DOLOMIES,LES COMBES,CHARDONNAY,WHITE,JURA,2022.0,84,,N/A,N/A,N/A,N/A,N/A,N/A
,VIGNES DU MAYNES,MACON-VILLAGES,CHARDONNAY,WHITE,BURGUNDY,2022.0,110,,"['Vegetarian', 'Pasta', 'Cured Meat']",48.05,2.2892819979188346,3.9,https://www.vivino.com/US/en/wines/4973162,1066
,LE BRISEAU,KHARAKTÊR,CHENIN BLANC,WHITE,LOIRE,2022.0,80,,N/A,N/A,N/A,N/A,N/A,N/A
